,onset,description
676,211.3873588924115,CovertEndStimulus
677,211.3873853788408,TargetCovertVowelI
678,211.38741494432077,CovertVowelI
679,211.38746945620449,CovertStartISI
680,211.90405994077435,CovertEndISI
681,211.9041397060672,ISICovertVowelI
682,211.9041932949375,CovertStartSpeech
683,213.40388654262358,CovertEndSpeech
684,213.40395676176183,SpeechCovertVowelI
685,213.40398971529692,CovertStartITI
686,213.90379917776033,CovertEndITI
687,213.9038287432403,ITICovertVowelI
688,213.90434306457962,CovertStartFixation
689,214.67046470432422,CovertEndFixation
690,214.67049026673874,FixationCovertVowel:I
691,214.67246070068984,CovertStartStimulus
692,215.42058080853792,CovertEndStimulus
693,215.42065195069142,TargetCovertVowelA
694,215.4206704299903,CovertVowelA
695,215.42071200666567,CovertStartISI
696,216.20396206614885,CovertEndISI
697,216.20403505633283,ISICovertVowelA
698,216.20408956821655,CovertStartSpeech
699,217.70417086719578,CovertEndSpeech
700,217.70421090384468,SpeechCovertVowelA
701,217.7042595646343,CovertStartITI
702,218.20393320889605,CovertEndITI
703,218.20400743209927,ITICovertVowelA
704,218.20457688033355,CovertStartFixation
705,219.15397038785056,CovertEndFixation
706,219.15404368603947,FixationCovertVowel:A
707,219.1541182162481,CovertStartStimulus
708,219.90410989744385,CovertEndStimulus
